Event,Date,Location,Latitude,Longitude,sample_top,sample_bottom,Comment,absolute_salinity(g/kg),Salinity (psu),Cond(microS/cm),Temperature,sample_id,
PS122/2_19-145,13/01/2020,runway1,87.338367,107.028839,0.03,0.015,,,0.16,,,dO18_0136,"surface, RS salinity instrument, (psu)"
PS122/2_19-145,13/01/2020,runway1,87.338367,107.028839,0.06,0.03,,,0.2,,,dO18_0138,"surface, RS salinity instrument, (psu)"
PS122/2_19-145,13/01/2020,runway1,87.338367,107.028839,0.04,0.01,,,0.28,,,dO18_0139,"surface, RS salinity instrument, (psu)"
PS122/2_19-145,13/01/2020,runway1,87.338367,107.028839,0.12,0.09,,,1.07,,,dO18_0140,"surface, RS salinity instrument, (psu)"
PS122/2_19-146,09/01/2020,runway1,87.146529,114.16245,0,-0.03,B,7.2,,,,dO18_0029,"bottom, EMIRAD"
PS122/2_19-146,09/01/2020,runway1,87.146529,114.16245,0.08,0.05,S20,0,,,,dO18_0132,"surface, EMIRAD"
PS122/2_19-41,08/01/2020,L3,87.113455,115.177044,0.05,0,AB,6,,,20.1,dO18_0019,bottom
PS122/2_19-41,08/01/2020,L3,87.113455,115.177044,0.12,0.11,AA,0,,,20.1,dO18_0122,surface
PS122/2_19-75,09/01/2020,BGC3,87.136672,114.534163,0.03,0,AC,2.6,,,20.1,dO18_0020,bottom
PS122/2_19-75,09/01/2020,BGC3,87.136672,114.534163,0.15,0.12,S12,0.1,,,20.1,dO18_0123,surface
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.145,0.115,S7,0,,9.1,17.1,dO18_0187,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.235,0.205,S15,0,,13.5,17.1,dO18_0184,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.205,0.175,S18,0,,14.3,17.1,dO18_0185,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.175,0.145,S14,0,,14.4,17.1,dO18_0186,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.115,0.085,S3,0,,29.4,17.1,dO18_0188,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.265,0.235,S12,0,,65.2,17.1,dO18_0183,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.085,0.055,S11,0.1,,246,17.1,dO18_0189,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.055,0.025,S19,,,418.5,17.1,dO18_0190,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.03,0,S4,,,638,17.1,dO18_0191,
PS122/2_19-92,10/01/2020,snow2-A2,87.168234,113.089407,0.13,0.1,S15,0,,,18.1,dO18_0198,
PS122/2_19-92,10/01/2020,snow2-A2,87.168234,113.089407,0.1,0.07,S3,0,,,18.1,dO18_0199,
PS122/2_19-92,10/01/2020,snow2-A2,87.168234,113.089407,0.07,0.04,S10,0,,,18.1,dO18_0200,
PS122/2_19-92,10/01/2020,snow2-A2,87.168234,113.089407,0.03,0,S16,0,,,18.1,dO18_0201,
PS122/2_20-4,13/01/2020,snow3-A6,87.333578,107.158962,0.1,0.07,S6,0.1,,,19,dO18_0210,
PS122/2_20-4,13/01/2020,snow3-A6,87.333578,107.158962,0.07,0.04,S7,4.8,,,19,dO18_0211,
PS122/2_20-4,13/01/2020,snow3-A6,87.333578,107.158962,0.03,0,S16,22.2,,,19,dO18_0212,
PS122/2_20-80,17/01/2020,snow1-A5,87.506502,99.307938,0.105,0.075,S13,0,,,18,dO18_0202,
PS122/2_20-80,17/01/2020,snow1-A5,87.506502,99.307938,0.075,0.045,AB,3.8,,,18,dO18_0203,
PS122/2_20-80,17/01/2020,snow1-A5,87.506502,99.307938,0.03,0,S18,8.9,,,18,dO18_0204,
PS122/2_20-83,17/01/2020,snow2-A8,87.514281,99.409629,0.03,0,S10,0.4,,,18,dO18_0121,superimposed ice
PS122/2_20-83,17/01/2020,snow2-A8,87.514281,99.409629,0.195,0.165,S1,0.1,,,18,dO18_0205,
PS122/2_20-83,17/01/2020,snow2-A8,87.514281,99.409629,0.165,0.135,S11,0,,,18,dO18_0206,
PS122/2_20-83,17/01/2020,snow2-A8,87.514281,99.409629,0.135,0.105,S8,0,,,18,dO18_0207,
PS122/2_20-83,17/01/2020,snow2-A8,87.514281,99.409629,0.105,0.075,S3,0,,,18,dO18_0208,
PS122/2_20-83,17/01/2020,snow2-A8,87.514281,99.409629,0.075,0.045,S2,0,,,18,dO18_0209,
PS122/2_21-14,20/01/2020,snow1-A1,87.439326,97.619717,0.26,0.23,S3,0.1,,,18,dO18_0213,
PS122/2_21-14,20/01/2020,snow1-A1,87.439326,97.619717,0.23,0.2,S15,0,,,18,dO18_0214,
PS122/2_21-14,20/01/2020,snow1-A1,87.439326,97.619717,0.2,0.17,S19,0,,,18,dO18_0215,
PS122/2_21-14,20/01/2020,snow1-A1,87.439326,97.619717,0.17,0.14,KL,0,,,18,dO18_0216,
PS122/2_21-14,20/01/2020,snow1-A1,87.439326,97.619717,0.03,0,S4,0.5,,,18,dO18_0217,
PS122/2_21-15,20/01/2020,snow2-A2,87.449599,97.423748,0.135,0.105,S9,0,,,18,dO18_0218,
PS122/2_21-15,20/01/2020,snow2-A2,87.449599,97.423748,0.105,0.075,VA,0,,,18,dO18_0219,
PS122/2_21-15,20/01/2020,snow2-A2,87.449599,97.423748,0.075,0.045,AA,0,,,18,dO18_0220,
PS122/2_21-15,20/01/2020,snow2-A2,87.449599,97.423748,0.03,0,S20,0,,,18,dO18_0221,
PS122/2_21-52,22/01/2020,snow1-A5,87.481129,95.067037,0.09,0.07,S11,0,,,20,dO18_0224,
PS122/2_21-52,22/01/2020,snow1-A5,87.481129,95.067037,0.03,0,S16,4,,,20,dO18_0225,
PS122/2_21-53,22/01/2020,snow3-A6,87.481958,95.106513,0.08,0.05,S1,0.8,,,19.5,dO18_0222,
PS122/2_21-53,22/01/2020,snow3-A6,87.481958,95.106513,0.03,0,S2,20.4,,,19.5,dO18_0223,
PS122/2_21-84,23/01/2020,RS3,87.448429,94.140424,0.12,0.09,AC,0,,,18.5,dO18_0101,RS3
PS122/2_21-84,23/01/2020,RS3,87.448429,94.140424,0.09,0.06,S10,0,,,18.5,dO18_0102,RS3
PS122/2_21-84,23/01/2020,RS3,87.448429,94.140424,0.06,0.03,AB,0.7,,,18.5,dO18_0103,RS3
PS122/2_21-84,23/01/2020,RS3,87.448429,94.140424,0.03,0,VA,6.3,,,18.5,dO18_0106,RS3
PS122/2_21-96,24/01/2020,FR,87.421249,93.119838,0.26,0.23,S2,0,,,22,dO18_0226,
PS122/2_21-96,24/01/2020,FR,87.421249,93.119838,0.23,0.2,S16,0,,,22,dO18_0227,
PS122/2_21-96,24/01/2020,FR,87.421249,93.119838,0.2,0.17,VA,0.1,,,22,dO18_0228,
PS122/2_21-96,24/01/2020,FR,87.421249,93.119838,0.17,0.14,S11,0,,,22,dO18_0229,
PS122/2_21-96,24/01/2020,FR,87.421249,93.119838,0.14,0.11,S1,0,,,22,dO18_0230,
PS122/2_21-96,24/01/2020,FR,87.421249,93.119838,0.11,0.08,AB,0,,,22,dO18_0231,
PS122/2_21-96,24/01/2020,FR,87.421249,93.119838,0.05,0,S3,0,,,22,dO18_0232,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.08,0.05,S6,0.9,,,21.4,dO18_0242,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.03,0,AA,19.3,,,21,dO18_0243,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.095,0.065,S14,0.2,,,21.4,dO18_0245,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.03,0,S15,18.8,,,20.8,dO18_0246,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.11,0.08,S7,0.1,,,21.2,dO18_0247,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.03,0,S10,19.8,,,20.9,dO18_0248,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.105,0.075,S12,0.2,,,21.4,dO18_0249,
PS122/2_22-43,29/01/2020,snow3-A6,87.470632,95.21388,0.03,0,S13,20.6,,,20.8,dO18_0250,
PS122/2_22-46,29/01/2020,snow3-A6,87.470634,95.205497,0.06,0.03,AC,13.9,,,21.1,dO18_0251,
PS122/2_22-46,29/01/2020,snow3-A6,87.470634,95.205497,0.4,0.37,S9,0,,,20.8,dO18_0252,
PS122/2_22-46,29/01/2020,snow3-A6,87.470634,95.205497,0.22,0.18,KL,0,,,21.4,dO18_0253,
PS122/2_22-46,29/01/2020,snow3-A6,87.470634,95.205497,0.03,0,S4,16.7,,,20.9,dO18_0254,
PS122/2_22-5,27/01/2020,snow2-A8,87.444174,95.566683,0.17,0.14,S14,0,,,16.5,dO18_0233,
PS122/2_22-5,27/01/2020,snow2-A8,87.444174,95.566683,0.14,0.11,S6,0,,,16.5,dO18_0238,
PS122/2_22-5,27/01/2020,snow2-A8,87.444174,95.566683,0.11,0.08,S10,0,,,16.5,dO18_0239,
PS122/2_22-5,27/01/2020,snow2-A8,87.444174,95.566683,0.08,0.05,S9,0,,,16.5,dO18_0240,
PS122/2_22-5,27/01/2020,snow2-A8,87.444174,95.566683,0.05,0.02,S20,0.1,,,16.5,dO18_0241,
PS122/2_22-6,27/01/2020,snow3-A6,87.447999,95.765049,0,-0.02,S13,10.7,,,17,dO18_0111,sea ice flat
PS122/2_22-6,27/01/2020,snow3-A6,87.447999,95.765049,0,-0.02,S18,14.3,,,17,dO18_0112,sea ice rough
PS122/2_22-6,27/01/2020,snow3-A6,87.447999,95.765049,0.12,0.09,RR,3.9,,,17,dO18_0177,very saline snow
PS122/2_22-6,27/01/2020,snow3-A6,87.447999,95.765049,0.09,0.06,AA,9.9,,,17,dO18_0178,very saline snow
PS122/2_22-6,27/01/2020,snow3-A6,87.447999,95.765049,0.06,0.03,S15,14,,,17,dO18_0179,very saline snow
PS122/2_22-6,27/01/2020,snow3-A6,87.447999,95.765049,0.03,0,S7,22.7,,,17,dO18_0180,very saline snow
PS122/2_22-61,30/01/2020,RS3,87.459572,96.529555,0.26,0.23,S20,0.1,,,17.8,dO18_0264,
PS122/2_22-61,30/01/2020,RS3,87.459572,96.529555,0.03,0,S18,3.5,,,18,dO18_0265,
PS122/2_22-73,31/01/2020,snow1-A3,87.438508,96.47659,0.06,0.03,AB,1.7,,,18,dO18_0262,
PS122/2_22-73,31/01/2020,snow1-A3,87.438508,96.47659,0.03,0,RR,16,,,17.8,dO18_0263,
PS122/2_23-2,03/02/2020,ds-coring-FYI,87.421046,93.412738,0.085,0.055,S4,1.4,,,17.9,dO18_0255,
PS122/2_23-2,03/02/2020,ds-coring-FYI,87.421046,93.412738,0.055,0.025,S10,5.7,,,17.8,dO18_0256,
PS122/2_23-2,03/02/2020,ds-coring-FYI,87.421046,93.412738,0.03,0,AA,17.9,,,17.7,dO18_0257,
PS122/2_23-34,05/02/2020,snow2-A2,87.53215,95.07494,0.11,0.08,S9,0,,,18.2,dO18_0274,
PS122/2_23-34,05/02/2020,snow2-A2,87.53215,95.07494,0.08,0.05,S19,0,,,18.1,dO18_0275,
PS122/2_23-34,05/02/2020,snow2-A2,87.53215,95.07494,0.05,0.02,S1,0,,,18,dO18_0276,
PS122/2_23-34,05/02/2020,snow2-A2,87.53215,95.07494,0.03,0,S8,0.1,,,17.8,dO18_0277,
PS122/2_23-53,06/02/2020,L3,87.605673,94.012638,0.145,0.12,S4,0.1,,,18.8,dO18_0283,
PS122/2_23-53,06/02/2020,L3,87.605673,94.012638,0.035,0,RR,8,,,18.5,dO18_0284,
PS122/2_23-73,07/02/2020,FR,87.636323,93.749778,0.46,0.43,S3,0.1,,,16.6,dO18_0272,
PS122/2_23-73,07/02/2020,FR,87.636323,93.749778,0.03,0,AA,0.8,,,16.5,dO18_0273,
PS122/2_23-74,07/02/2020,snow1-A5,87.640855,93.7781,0.01,0,B,9.5,,,18,dO18_0176,very hard crust
PS122/2_23-74,07/02/2020,snow1-A5,87.640855,93.7781,0.25,0.22,S15,0,,,16.1,dO18_0266,
PS122/2_23-74,07/02/2020,snow1-A5,87.640855,93.7781,0.19,0.16,VA,0,,,17.5,dO18_0267,
PS122/2_23-74,07/02/2020,snow1-A5,87.640855,93.7781,0.13,0.1,S10,0,,,16.8,dO18_0268,
PS122/2_23-74,07/02/2020,snow1-A5,87.640855,93.7781,0.1,0.07,AB,0,,,17.5,dO18_0269,
PS122/2_23-74,07/02/2020,snow1-A5,87.640855,93.7781,0.07,0.04,S2,1.4,,,18.3,dO18_0270,
PS122/2_23-74,07/02/2020,snow1-A5,87.640855,93.7781,0.04,0.01,S20,2.4,,,18,dO18_0271,
PS122/2_23-75,06/02/2020,RS-transect-north,87.611803,93.950906,0.03,0,S13,0,,,18.5,dO18_0058,from snow block from digging
PS122/2_23-75,06/02/2020,RS-transect-north,87.611803,93.950906,0.23,0.2,S7,0,,,18.8,dO18_0281,
PS122/2_23-76,06/02/2020,RS-transect-north,87.612386,93.945602,0.09,0.06,S18,0,,,17.6,dO18_0279,
PS122/2_23-76,06/02/2020,RS-transect-north,87.612386,93.945602,0.03,0,S14,0.6,,,18.5,dO18_0285,
PS122/2_23-77,06/02/2020,RS-transect-north,87.612868,93.941162,0.03,0,AC,0,,,17.8,dO18_0278,
PS122/2_23-77,06/02/2020,RS-transect-north,87.612868,93.941162,0.165,0.135,S16,0,,,19,dO18_0286,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.24,0.21,AC,0,,,18.1,dO18_0258,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.21,0.18,S14,0,,,18,dO18_0259,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.18,0.15,KL,0,,,18.1,dO18_0260,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.15,0.12,S7,0,,,17.8,dO18_0261,
PS122/2_24-112,15/02/2020,L1,88.068118,79.762696,0.05,0,S11,0,,,20.9,dO18_0350,
PS122/2_24-112,15/02/2020,L1,88.068118,79.762696,0.27,0.24,S10,0,,,20.5,dO18_0353,
PS122/2_24-113,15/02/2020,L2,88.068343,79.780367,0.03,0,S16,3.6,,,20.5,dO18_0351,
PS122/2_24-113,15/02/2020,L2,88.068343,79.780367,0.11,0.08,S4,0.1,,,20.8,dO18_0352,
PS122/2_24-14,10/02/2020,snow3-A6,87.777867,92.017269,0.09,0.06,S20,0.9,,,15.3,dO18_0292,
PS122/2_24-14,10/02/2020,snow3-A6,87.777867,92.017269,0.06,0.03,AB,8,,,15.3,dO18_0293,
PS122/2_24-14,10/02/2020,snow3-A6,87.777867,92.017269,0.03,0,S3,16.9,,,15.4,dO18_0294,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.15,0.12,S11,0.1,,,15.5,dO18_0287,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.12,0.09,S15,0,,,15.3,dO18_0288,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.09,0.06,S10,0,,,15.3,dO18_0289,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.06,0.03,S19,0,,,15.4,dO18_0290,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.03,0,S18,0.6,,,15.4,dO18_0291,
PS122/2_24-35,12/02/2020,snow2-A10,87.861033,88.024284,0.56,0.53,VA,0,,,20.5,dO18_0072,not taken as dO18 sample
PS122/2_24-35,12/02/2020,snow2-A10,87.861033,88.024284,0.26,0.23,KL,0.1,,,20.7,dO18_0077,not taken as dO18 sample
PS122/2_24-35,12/02/2020,snow2-A10,87.861033,88.024284,0.05,0.02,S3,1.5,,,20.7,dO18_0081,not taken as dO18 sample
PS122/2_24-81,15/02/2020,RS3,88.068786,79.810557,0.11,0.14,S15,0,,,20.8,dO18_0073,not taken as dO18 sample
PS122/2_24-81,15/02/2020,RS3,88.068786,79.810557,0.02,0.05,M,0.1,,,20.8,dO18_0078,not taken as dO18 sample
PS122/2_24-81,15/02/2020,RS3,88.068786,79.810557,0,0.02,S2,2.4,,,20.6,dO18_0083,not taken as dO18 sample
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.16,0.13,S20,0,,,20.5,dO18_0345,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.13,0.1,S7,0,,,20.6,dO18_0346,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.1,0.07,S18,0,,,20.4,dO18_0347,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.07,0.04,S1,9,,,20,dO18_0348,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.04,0.01,AB,12.2,,,20.6,dO18_0349,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.12,0.09,S19,0.1,,,20.2,dO18_0341,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.09,0.06,S9,0,,,20.6,dO18_0342,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.06,0.03,S13,0,,,20.3,dO18_0343,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.03,0,B,0,,,20.1,dO18_0344,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.21,0.18,RR,0.1,,,20.3,dO18_0334,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.18,0.15,S8,0,,,20.4,dO18_0335,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.15,0.12,S12,0,,,20.5,dO18_0336,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.12,0.09,S14,0,,,20.1,dO18_0337,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.09,0.06,AC,0.2,,,20.2,dO18_0338,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.06,0.03,S21(Tuper),1.6,,,20.2,dO18_0339,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.03,0,AA,3.9,,,20.5,dO18_0340,
PS122/2_25-59,20/02/2020,RS3,88.382455,68.840467,0.095,0.08,S4,0,,,18,dO18_0074,not taken as dO18 sample
PS122/2_25-59,20/02/2020,RS3,88.382455,68.840467,0.02,0,S11,1.5,,,17.9,dO18_0082,not taken as dO18 sample
PS122/2_25-80,21/02/2020,snow1-A5,88.478687,66.945536,0.08,0.05,S3,0.1,,,17.7,dO18_0354,
PS122/2_25-80,21/02/2020,snow1-A5,88.478687,66.945536,0.05,0.02,S19,1.1,,,17.7,dO18_0355,
PS122/2_25-80,21/02/2020,snow1-A5,88.478687,66.945536,0.03,0,B,13.6,,,17.6,dO18_0356,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.4,0.37,S8,0,,,18.3,dO18_0075,not taken as dO18 sample
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.2,0.17,S15,0,,,17.8,dO18_0076,not taken as dO18 sample
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.8,0.77,AC,0.1,,,18.1,dO18_0079,not taken as dO18 sample
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.6,0.57,S10,0.1,,,18.1,dO18_0080,not taken as dO18 sample
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.87,0.84,S12,0.1,,,17.7,dO18_0357,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.7,0.67,S9,0.1,,,17.8,dO18_0358,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.5,0.47,AA,0,,,18,dO18_0359,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.3,0.27,S16,0,,,17.5,dO18_0360,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.1,0.07,RR,0,,,17.8,dO18_0361,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0,0.03,M,0,,,17.9,dO18_0362,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.25,0.22,S7,0.1,,,17,dO18_0369,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.2,0.17,S8,0.1,,,16.6,dO18_0370,duplicate d18O samples
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.17,0.14,S18,0.2,,,16.4,dO18_0370,duplicate d18O samples
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.14,0.11,S1,0.1,,,16.9,dO18_0371,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.11,0.08,AA,0.1,,,16.8,dO18_0372,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.08,0.05,S14,1.8,,,16.4,dO18_0373,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.04,0.01,B,12,,,16.9,dO18_0374,
PS122/3_29-28,26/02/2020,snow1-A3,88.507153,41.149214,0.02,0,S9,13,,,16.6,dO18_0375,
PS122/3_29-43,27/02/2020,RS3,88.41405,36.848866,0.1,0.07,BAB,0.1,,,15.3,dO18_0363,
PS122/3_29-43,27/02/2020,RS3,88.41405,36.848866,0.07,0.04,ION120,0,,,15.8,dO18_0364,
PS122/3_29-43,27/02/2020,RS3,88.41405,36.848866,0.03,0,ION119,1.2,,,15.8,dO18_0365,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.22,0.19,KL,0,,,16.7,dO18_0376,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.19,0.16,S20,0.1,,,16.4,dO18_0377,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.16,0.13,S13,0,,,16.4,dO18_0379,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.13,0.1,AB,0,,,16.7,dO18_0380,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.04,0.01,S19,1.1,,,16.9,dO18_0381,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.19,0.16,S9,0,,,,dO18_0160,two S9
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.28,0.25,B,0,,,17.9,dO18_0408,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.22,0.19,S18,0,,,18,dO18_0409,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.16,0.13,KL,0,,,17.8,dO18_0410,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.13,0.1,S14,0,,,17.6,dO18_0413,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.1,0.07,S1,0,,,17.9,dO18_0414,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.07,0.04,S2,0,,,18,dO18_0415,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.04,0.01,VA,0,,,17.9,dO18_0416,
PS122/3_30-25,04/03/2020,snow1-A1,88.096915,30.487691,0.2,0.17,S13,0,,,17.9,dO18_0403,
PS122/3_30-25,04/03/2020,snow1-A1,88.096915,30.487691,0.17,0.14,S20,0,,,17.6,dO18_0404,
PS122/3_30-25,04/03/2020,snow1-A1,88.096915,30.487691,0.14,0.11,S12,0,,,18.2,dO18_0405,
PS122/3_30-25,04/03/2020,snow1-A1,88.096915,30.487691,0.11,0.08,S7,0,,,17.6,dO18_0406,
PS122/3_30-25,04/03/2020,snow1-A1,88.096915,30.487691,0.08,0.05,AB,1,,,18,dO18_0407,
PS122/3_30-61,06/03/2020,RS3,88.101065,29.711328,0.07,0.04,A,0,,,21,dO18_0417,
